User Pedon ID                 ,Top Depth,Bottom Depth,featNew
1964ND081500                  ,0,99,Mollic
1970SD091205                  ,0,74,Mollic
1970SD091205                  ,15,152,Aquic Conditions
1971MN149500                  ,0,97,Mollic
1972MN121500                  ,0,76,Mollic
1972SD045309                  ,0,122,Mollic
1977SD051008                  ,28,152,Aquic Conditions
1977SD051008                  ,0,137,Mollic
1977SD109500                  ,0,109,Mollic
1978MN051500                  ,0,104,Mollic
1978SD021310                  ,0,122,Mollic
1978SD021310                  ,122,152,Secondary Carbonates
1978SD021310                  ,0,152,Aquic Conditions
1980SD089311                  ,0,33,Mollic
1982MN155040                  ,0,152,Mollic
1982SD049310                  ,0,15,Mollic
1983SD013501                  ,81,152,Aquic Conditions
1983SD013501                  ,0,112,Mollic
1983SD013501                  ,112,152,Secondary Carbonates
1983SD039003                  ,0,152,Mollic
1983SD039003                  ,0,152,Aquic Conditions
1984MN011001                  ,0,94,Mollic
1984ND067506                  ,0,94,Mollic
1984ND067508                  ,0,61,Mollic
1984ND067509                  ,0,91,Mollic
1984ND067510                  ,0,81,Mollic
1987ND095003                  ,0,114,Mollic
1987ND095003                  ,0,152,Aquic Conditions
1988MN111098                  ,0,107,Mollic
1989MN167500                  ,0,51,Mollic
1989ND021302                  ,0,66,Mollic
1989ND021302                  ,0,152,Aquic Conditions
1991SD011038                  ,0,114,Mollic
1991SD011038                  ,25,200,Aquic Conditions
1991SD115001                  ,0,71,Mollic
1991SD115001                  ,28,200,Aquic Conditions
1992ND073011                  ,0,152,Mollic
1994MN151004                  ,0,203,Mollic
1994MN151005                  ,0,99,Mollic
1994MN151013                  ,0,46,Mollic
1994MN151015                  ,0,64,Mollic
1994MN151031                  ,0,102,Mollic
1995MN151016                  ,0,137,Mollic
1995MN151018                  ,0,119,Mollic
1995MN151029                  ,0,74,Mollic
1995MN151035                  ,0,86,Mollic
1995MN151039                  ,0,81,Mollic
1995MN151040                  ,0,46,Mollic
1995MN151053                  ,0,76,Mollic
1995MN151060                  ,0,102,Mollic
1995MN151067                  ,0,43,Mollic
1997MN073500                  ,0,69,Mollic
1998MN151167                  ,0,64,Mollic
2001MN111500                  ,0,107,Mollic
2006MN083012                  ,0,152,Mollic
2006MN083085                  ,0,124,Mollic
2007MN073108                  ,0,122,Mollic
2007MN073122                  ,0,71,Mollic
2007MN073143                  ,0,102,Mollic
2007MN073145                  ,0,89,Mollic
2007MN073180                  ,0,61,Mollic
2007MN073193                  ,0,69,Mollic
56ND081004                    ,0,140,Mollic
56ND081008                    ,0,51,Mollic
84ND063504                    ,0,107,Mollic
85ND005511                    ,0,117,Mollic
85ND005512                    ,0,213,Mollic
85ND005513                    ,0,206,Mollic
85ND043503                    ,0,71,Mollic
85ND043504                    ,0,38,Mollic
85ND043505                    ,0,61,Mollic
85ND047507                    ,0,229,Mollic
85ND083608                    ,0,229,Mollic
85ND083609                    ,0,229,Mollic
85ND093526                    ,0,229,Mollic
85ND093527                    ,0,229,Mollic
85ND093529                    ,0,229,Mollic
85ND093530                    ,0,229,Mollic
88ND053073                    ,0,114,Mollic
92ND023156                    ,0,55,Mollic
96ND093525                    ,0,229,Mollic
C0707P05-2                    ,0,60,Mollic
C0707P05-3                    ,0,20,Mollic
C0707P05-3                    ,         ,            ,Aquic Conditions
C0707P05-5                    ,0,31,Mollic
C0707P05-5                    ,         ,            ,Aquic Conditions
C0707W05-4                    ,         ,            ,Aquic Conditions
C0707W05-5                    ,         ,            ,Aquic Conditions
C0707X02-4                    ,0,51,Mollic
